particle,x,y,t
0,162.608688355,214.866241455,0
0,162.12147522,215.094589233,1
0,162.249328613,214.917236328,2
0,162.921463013,214.895233154,3
0,162.690338135,214.488220215,4
0,162.235076904,214.67980957,5
0,161.842605591,213.614227295,6
0,161.67225647,213.62284851099997,7
0,161.687469482,213.464370728,8
0,161.63935852,213.450164795,9
0,161.44883728,213.565673828,10
0,161.635070801,214.184188843,11
0,161.374801636,214.417160034,12
0,162.088424683,214.17236328099997,13
0,161.863647461,214.81059265099998,14
0,161.470657349,214.966140747,15
0,161.649108887,214.98927307099999,16
0,161.330566406,214.731491089,17
0,161.640380859,214.84463501,18
0,161.876708984,215.328292847,19
0,161.967468262,215.10247802700002,20
0,162.464660644,214.996948242,21
0,162.546569824,215.46675109900002,22
0,162.556655884,215.47540283200001,23
0,163.018661499,215.836090088,24
0,162.851150513,216.28883361799998,25
0,162.768295288,215.69302368200002,26
0,162.652954102,215.416488647,27
0,162.76400756799998,215.85192871099997,28
0,162.933197022,216.02091980000003,29
0,162.602935791,215.55168151900003,30
0,162.396850586,214.938308716,31
0,162.276733398,214.946533203,32
0,162.926086426,214.854370117,33
0,163.15017700200002,214.825897217,34
0,163.796966553,215.00079345700001,35
0,163.834991455,215.003433228,36
0,163.536697388,214.73802185099998,37
0,163.920303345,214.913909912,38
0,163.990951538,214.904968262,39
0,164.164321899,215.16545105,40
0,164.384841919,214.970245361,41
0,164.02861023,215.374160767,42
0,163.323684692,215.157196045,43
0,162.907684326,214.608932495,44
0,163.233291626,214.75479126,45
0,163.828796387,215.060821533,46
0,163.941589356,215.229293823,47
0,164.301681519,214.959594727,48
0,164.861633301,214.82485961900002,49
0,164.673324585,214.619567871,50
0,164.640472412,214.55169677700002,51
0,164.79144287100002,215.13471984900002,52
0,164.89373779299999,215.175720215,53
0,164.693817139,215.297485352,54
0,164.938110352,215.29460144,55
0,164.99197387700002,215.658233643,56
0,164.995513916,215.99130249,57
0,165.101531982,216.56219482400002,58
0,165.032592773,216.891235352,59
0,164.958526611,216.935424805,60
0,165.36488342299998,217.263839722,61
0,165.435302734,217.32135009799998,62
0,165.240509033,217.48263549799998,63
0,165.503860474,217.40846252400002,64
0,165.28872680700002,217.47505188,65
0,165.081619263,217.14923095700001,66
0,165.130889893,217.370559692,67
0,165.22215271,217.398300171,68
0,165.360733032,217.17596435599998,69
0,165.536926269,217.187438965,70
0,165.454956055,216.80059814400002,71
0,165.521575928,216.792800903,72
0,165.739028931,216.946090698,73
0,165.925933838,217.16383361799998,74
0,166.120819092,217.03105163599997,75
0,166.457565308,216.65524292,76
0,166.639434814,216.370635986,77
0,166.650344849,216.34022522,78
0,166.67729187,216.336471558,79
0,166.688644409,216.53216552700002,80
0,166.63064575200002,216.555419922,81
0,166.452346802,216.539230347,82
0,166.24621582,216.686676025,83
0,166.180770874,216.688873291,84
0,165.694442749,217.06524658200001,85
0,166.16253662100002,216.96014404299999,86
0,166.511398315,216.744110107,87
0,166.11630249,216.74293518099998,88
0,165.730758667,217.041671753,89
0,166.02560424799998,217.105560303,90
0,166.27239990200002,217.22560119599999,91
0,166.044250488,217.499191284,92
0,166.746902466,217.54608154299999,93
0,166.899841309,217.898010254,94
0,166.509521484,218.09991455099998,95
0,166.662811279,218.40016174299998,96
0,166.61732482899998,218.49880981400003,97
0,166.604568481,218.368865967,98
0,166.56858825700002,218.00202941900002,99
0,166.619552612,218.32443237299998,100
0,166.367767334,218.044921875,101
0,166.039718628,217.98020935099998,102
0,165.935562134,218.04487609900002,103
0,166.521865845,217.78901672400002,104
0,166.79284668,217.380447388,105
0,166.971008301,217.36315918,106
0,166.92314148,217.35137939400002,107
0,166.836959839,217.230789185,108
0,166.469512939,217.135147095,109
0,166.45614624,216.651107788,110
0,166.774307251,216.532363892,111
0,167.15589904799998,216.28224182099999,112
0,167.712188721,216.407226562,113
0,167.525085449,216.394500732,114
0,167.28594970700001,216.750823975,115
0,167.264648438,216.802139282,116
0,166.966644287,217.001022339,117
0,167.170791626,217.15740966799999,118
0,166.997055054,217.16896057099999,119
0,167.132415772,217.278625488,120
0,167.123413086,217.298095703,121
0,167.136276245,217.49783325200002,122
0,167.44692993200002,217.68978881799998,123
0,167.14894104,217.376525879,124
0,167.245498657,217.319610596,125
0,167.137359619,217.37646484400003,126
0,167.146072388,217.388916016,127
0,167.143951416,217.387313843,128
0,167.781204224,217.50091552700002,129
0,167.612884522,217.29649353,130
0,167.375534058,217.221939087,131
0,167.667404175,217.312103272,132
0,167.64831543,217.52049255400001,133
0,167.826950073,216.927856445,134
0,168.022949219,216.62890625,135
0,167.802139282,216.31799316400003,136
0,167.978500366,216.379196167,137
0,168.25738525399998,216.781829834,138
0,168.327407837,216.880767822,139
0,168.423095703,216.98468017599998,140
0,168.438323975,217.20333862299998,141
0,168.048843384,217.552719116,142
0,167.788208008,217.606689453,143
0,167.702148438,217.838668823,144
0,168.3412323,217.606536865,145
0,167.625259399,217.826553345,146
0,167.323440552,217.777816772,147
0,167.596679688,218.268386841,148
0,167.850265503,218.490615845,149
0,167.52850341799999,218.271759033,150
0,167.20072937,218.648498535,151
0,167.09017944299998,219.041397095,152
0,167.247543335,219.167678833,153
0,167.444351196,219.01789856,154
0,167.828445435,218.62387085,155
0,168.385772705,218.79106140099998,156
0,168.572143555,218.78968811,157
0,168.342407227,218.95289611799998,158
0,168.206863403,218.85508728,159
1,415.78002929699994,47.9143104553,0
1,415.93203735300006,47.7617416382,1
1,415.572845459,46.941806793199994,2
1,415.631958008,47.1839027405,3
1,415.506958008,46.9492225647,4
1,415.431976318,46.4367904663,5
1,414.85113525400004,46.547351837200004,6
1,414.56430053699995,46.5296707153,7
1,414.70220947300004,46.2299842834,8
1,414.513977051,45.960014343299996,9
1,414.391571045,45.7804756165,10
1,413.922180176,45.692226409899995,11
1,413.06228637699996,45.4399795532,12
1,412.89581298800005,45.345954895,13
1,413.018127441,45.4875831604,14
1,412.883117676,45.541732788100006,15
1,412.656494141,45.33484268189999,16
1,412.705047607,45.209663391099994,17
1,412.16293335,45.503528595,18
1,411.877288818,45.6548156738,19
1,411.75070190400004,45.3280982971,20
1,411.530761719,44.4097099304,21
1,410.95614624,43.3797454834,22
1,410.18661499,42.9605636597,23
1,409.97027587900004,43.131072998,24
1,410.11483764699994,42.7511634827,25
1,410.31484985300006,42.2765655518,26
1,410.127441406,42.026184082,27
1,409.838134766,41.9191818237,28
1,410.31738281199995,41.4060249329,29
1,410.013946533,41.3743515015,30
1,409.785461426,41.3686676025,31
1,409.438812256,41.1139602661,32
1,409.19799804699994,41.1122398376,33
1,408.883972168,41.2795143127,34
1,408.478698731,41.180229186999995,35
1,408.05426025400004,41.0382461548,36
1,407.87237548800005,40.815826416,37
1,407.35845947300004,40.6722755432,38
1,407.25991821300005,41.1957893372,39
1,405.73477172800006,41.9052772522,40
1,405.193084717,42.489982605,41
1,406.422454834,42.734085083000004,42
1,406.35848999,43.395908355699994,43
1,405.66369628900003,43.4628639221,44
1,404.493499756,43.08020401,45
1,403.46246337900004,42.8275794983,46
1,403.149261475,42.51171875,47
1,402.97091674800004,42.237461090100005,48
1,402.607757568,42.1410369873,49
1,402.139160156,41.6612014771,50
1,402.19119262699996,41.006450653099996,51
1,401.674682617,41.4546661377,52
1,401.34915161099997,41.726474761999995,53
1,401.147857666,42.1223297119,54
1,400.531341553,42.084873199499995,55
1,400.14739990199996,42.4374656677,56
1,399.845611572,42.2606048584,57
1,399.509582519,42.0320663452,58
1,399.81265258800005,42.3097229004,59
1,399.238922119,42.4430618286,60
1,398.834625244,42.2390289307,61
1,397.812744141,42.1928405762,62
1,397.592285156,42.0473823547,63
1,397.053222656,42.113483429,64
1,396.757781982,42.248481750500005,65
1,396.628112793,43.012966156000005,66
1,396.69937133800005,42.9432258606,67
1,396.71942138699995,42.8910560608,68
1,396.91336059599996,42.2678070068,69
1,396.61868286099997,42.075576782199995,70
1,396.48788452199994,42.8220367432,71
1,396.00256347699997,42.4214782715,72
1,395.61874389699994,42.5350189209,73
1,395.41510009800004,43.126892089799995,74
1,395.54370117199994,42.8583030701,75
1,396.25915527300003,43.372890472399995,76
1,395.57098388699995,43.5035018921,77
1,395.235229492,42.6968955994,78
1,394.689697266,42.4760169983,79
1,393.65701294,43.5028152466,80
1,393.71392822300004,42.9826393127,81
1,393.267822266,42.6987419128,82
1,392.849365234,42.5565185547,83
1,392.01824951199995,42.6395759583,84
1,391.69241333,42.6374931335,85
1,391.193634033,43.691772460900005,86
1,391.158233643,44.385242462200004,87
1,391.14474487300004,44.494853973400005,88
1,390.43841552699996,44.926349639899996,89
1,390.03387451199995,44.5696105957,90
1,389.569793701,44.0928039551,91
1,389.330261231,43.7373466492,92
1,389.67257690400004,43.9025802612,93
1,390.007324219,44.2771606445,94
1,389.8800354,44.360828399700004,95
1,389.524536133,44.02523040770001,96
1,389.10256958,44.211994171099995,97
1,388.763153076,44.1715240479,98
1,387.756439209,43.2189865112,99
1,387.50659179699994,42.6955184937,100
1,387.774017334,43.244857788100006,101
1,387.387237549,43.5322380066,102
1,386.918792725,43.433879852299995,103
1,387.35028076199995,43.645275116,104
1,387.21832275400004,43.7863464355,105
1,386.972137451,43.6625595093,106
1,386.832519531,43.2844848633,107
1,386.55212402300003,43.1472206116,108
1,386.785797119,43.8055686951,109
1,386.721191406,44.1188240051,110
1,386.16622924800004,43.9915847778,111
1,385.62933349599996,44.4482879639,112
1,385.29284668,44.3391113281,113
1,385.10226440400004,44.412361145,114
1,384.692596435,43.8888816833,115
1,384.922424316,43.312549591099994,116
1,384.356781006,43.4611091614,117
1,384.094238281,43.906513214099995,118
1,383.89212036099997,43.986335754399995,119
1,383.646759033,44.4933776855,120
1,383.37994384800004,44.409118652299995,121
1,383.201293945,44.233253479,122
1,382.30169677699996,44.371307373,123
1,381.683349609,43.5131111145,124
1,381.69570922800006,43.681632995600005,125
1,381.269866943,43.3790473938,126
1,381.065093994,43.6840782166,127
1,380.922058106,43.3534889221,128
1,380.56796264699994,43.2946166992,129
1,379.728607178,42.9259681702,130
1,378.692352295,42.7939147949,131
1,377.42321777300003,42.522129058800004,132
1,378.193939209,43.590393066400004,133
1,376.83752441400003,43.8711166382,134
1,376.936920166,43.24844360350001,135
1,376.184234619,43.125312805200004,136
1,375.768951416,42.590599060100004,137
1,375.64920044,42.2416877747,138
1,375.19464111300005,42.3701400757,139
1,374.90246582,42.7710533142,140
1,374.624450684,42.9196014404,141
1,374.300476074,42.957469940200006,142
1,374.28973388699995,43.62637329100001,143
1,373.73754882800006,44.079818725600006,144
1,373.415466309,43.663166046099995,145
1,373.414642334,43.969535827600005,146
1,372.921325684,44.474380493199995,147
1,372.807220459,44.489871978800004,148
1,372.39910888699995,43.9696311951,149
1,371.712097168,44.4740219116,150
1,371.543548584,44.5822677612,151
1,371.007995606,44.342971801800005,152
1,370.78109741199995,44.4576148987,153
1,370.552215576,44.3894538879,154
1,370.024597168,43.8030090332,155
1,369.75939941400003,43.9154167175,156
1,369.621398926,42.972805023199996,157
1,369.559692383,42.866645813000005,158
1,369.31961059599996,42.2746009827,159
2,185.91329956099997,432.314727783,0
2,185.900482178,432.27246093800005,1
2,186.02998352,432.34924316400003,2
2,185.999465942,432.37741088900003,3
2,186.261245728,432.304718018,4
2,186.432220459,432.33047485300006,5
2,186.37731933599997,432.23898315400004,6
2,186.367080689,432.30230712900004,7
2,186.01570129400002,432.18737793,8
2,186.484375,432.348754883,9
2,186.49139404299999,432.34750366199995,10
2,186.48042297400002,432.316925049,11
2,186.52697753900003,432.374206543,12
2,186.61045837400002,432.42150878900003,13
2,186.667526245,432.355163574,14
2,186.405929565,432.253112793,15
2,186.445602417,432.242523193,16
2,186.616470337,432.497924805,17
2,187.18559265099998,432.63049316400003,18
2,187.279678345,432.35757446300005,19
2,187.198287964,432.29528808599997,20
2,187.11947631799998,432.36312866199995,21
2,186.65019226099997,432.17288208,22
2,186.699081421,432.595062256,23
2,186.9271698,432.80401611300005,24
2,187.196807861,432.244415283,25
2,186.497634888,432.08218383800005,26
2,186.393829346,432.224609375,27
2,186.51159668,432.380340576,28
2,186.53636169400002,432.42617797800006,29
2,186.525360107,432.396789551,30
2,186.562789917,432.32550048800005,31
2,186.58323669400002,432.357543945,32
2,186.605361939,432.29275512699996,33
2,186.69900512700002,432.368377685,34
2,186.929000855,432.431304932,35
2,187.066848755,432.42819213900003,36
2,187.11041259799998,432.460296631,37
2,187.197555542,432.53814697300004,38
2,187.16470336900002,432.42477417,39
2,187.39364624,432.43621826199995,40
2,187.373199463,432.571716309,41
2,187.435562134,432.64001464800003,42
2,187.43559265099998,432.643707275,43
2,187.63575744599999,432.48526001,44
2,187.652313232,432.583404541,45
2,187.786087036,432.59362793,46
2,187.84866333,432.44213867199994,47
2,188.01713562,432.635925293,48
2,188.020202637,432.458679199,49
2,188.039871216,432.57186889699994,50
2,188.085647583,432.54019165,51
2,188.22227478,432.467315674,52
2,188.333969116,432.55926513699995,53
2,188.387008667,432.60787963900003,54
2,188.44833374,432.57571411099997,55
2,188.583587647,432.449859619,56
2,188.606292725,432.46356201199995,57
2,188.766845703,432.66143798800005,58
2,188.72636413599997,432.696258545,59
2,188.728530884,432.693359375,60
2,188.920730591,432.55734252900004,61
2,188.686660767,432.54754638699995,62
2,188.993637085,432.725616455,63
2,189.128585815,432.76388549800004,64
2,189.117599487,432.74008178699995,65
2,189.11181640599997,432.75704956,66
2,189.19898986799998,432.835906982,67
2,189.163131714,432.831085205,68
2,189.808059692,432.921051025,69
2,189.994049072,432.90805053699995,70
2,190.324279785,433.01907348599997,71
2,190.421890259,433.149261475,72
2,190.695877075,433.22286987300004,73
2,190.627929688,433.14437866199995,74
2,190.798156738,433.13671875,75
2,190.83992004400002,433.05596923800005,76
2,191.028121948,432.98538208,77
2,191.19732666,432.989746094,78
2,191.398025513,433.10559082,79
2,191.72265625,433.259643555,80
2,191.397018433,433.033691406,81
2,191.493743897,433.015533447,82
2,191.858001709,433.10864257800006,83
2,191.853530884,433.176300049,84
2,191.959564209,433.04861450199996,85
2,191.8722229,433.11315918,86
2,191.89175415,433.09890747099996,87
2,191.97775268599997,433.00012207,88
2,191.96194458,432.91708374,89
2,191.99900817900001,432.96936035199997,90
2,192.07843017599998,433.20352172800006,91
2,192.43006897,433.182739258,92
2,192.592254639,433.112121582,93
2,192.596359253,433.05932617199994,94
2,192.776016235,433.071411133,95
2,192.884094238,433.036315918,96
2,192.85275268599997,433.114105225,97
2,192.902496338,433.05123901400003,98
2,192.99345398,433.074798584,99
2,193.047698975,433.118133545,100
2,193.142868042,433.05545044,101
2,193.328720093,433.01989746099997,102
2,193.111328125,433.132019043,103
2,193.178283691,433.11050415,104
2,193.166946411,433.048950195,105
2,193.205169678,433.01293945300006,106
2,193.432907105,433.09136962900004,107
2,193.709411621,433.16168212900004,108
2,193.740371704,433.43234252900004,109
2,193.86096191400003,433.14431762699996,110
2,193.904434204,433.260253906,111
2,194.002960205,433.33294677699996,112
2,194.395462036,433.29318237300004,113
2,194.31968689,433.27835083,114
2,194.758590698,433.237426758,115
2,194.707015991,433.28390502900004,116
2,194.784057617,433.53643798800005,117
2,195.223876953,433.37515258800005,118
2,195.25566101099997,433.15280151400003,119
2,195.441116333,433.20251464800003,120
2,195.564956665,433.38626098599997,121
2,195.66804504400002,433.407928467,122
2,196.005950928,433.30422973599997,123
2,196.098937988,433.17263794,124
2,196.04486084,433.12088012699996,125
2,196.23696899400002,433.22732544,126
2,196.297286987,433.16027832,127
2,196.49098205599998,433.005279541,128
2,196.440460205,433.222137451,129
2,196.717178345,433.04080200199996,130
2,196.843215942,432.982391357,131
2,196.72177124,432.96972656199995,132
2,196.781814575,433.083984375,133
2,196.82720947299998,433.23416137699996,134
2,197.36251831099997,433.220886231,135
2,197.297348022,433.05902099599996,136
2,197.200927734,432.91293335,137
2,197.517288208,433.108581543,138
2,197.527770996,433.351318359,139
2,197.75622558599997,433.288116455,140
2,197.970291138,433.34417724599996,141
2,197.803131103,433.197387695,142
2,197.59727478,433.438903809,143
2,198.141357422,433.264678955,144
2,197.89643859900002,433.18399047800006,145
2,198.110610962,433.198730469,146
2,198.009857178,433.29296875,147
2,198.14414978,433.281799316,148
2,198.10208129900002,433.45416259800004,149
2,198.659683228,433.033843994,150
2,198.888946533,433.107940674,151
2,198.908309936,433.23236084,152
2,198.56230163599997,433.358184815,153
2,199.318771362,433.39019775400004,154
2,198.938217163,433.19821167,155
2,199.47579956099997,433.33941650400004,156
2,199.723114014,433.384643555,157
2,199.669418335,433.228485107,158
2,199.35264587400002,433.325592041,159
3,90.0985641479,136.549636841,0
3,89.927947998,137.13880920399998,1
3,89.9072265625,137.184890747,2
3,90.58302307129999,137.01011657700002,3
3,90.5547409058,136.966827393,4
3,90.02026367190001,136.592285156,5
3,90.6016540527,136.754852295,6
3,90.8696365356,136.839752197,7
3,90.8167724609,137.04066467299998,8
3,89.61868286129999,136.547531128,9
3,90.0483322144,134.742034912,10
3,90.2098922729,136.190734863,11
3,90.1801300049,137.53538513200002,12
3,89.99284362790002,139.100814819,13
3,90.5945358276,139.25201416,14
3,90.2148971558,138.791992188,15
3,90.0077209473,138.537567139,16
3,90.2769775391,138.553512573,17
3,89.88243103030001,138.899139404,18
3,90.03285217290001,139.252883911,19
3,90.75505828860001,139.372421265,20
3,90.45631408690001,139.393051147,21
3,90.5724945068,139.196884155,22
3,91.083694458,139.007156372,23
3,91.0399932861,139.098312378,24
3,91.16561889649999,138.61993408200001,25
3,91.8987960815,138.274765015,26
3,92.33603668209999,138.117507935,27
3,92.1563949585,137.872375488,28
3,92.06142425540001,137.645141602,29
3,92.1489105225,137.627487183,30
3,92.1372299194,137.233352661,31
3,92.5471038818,136.744979858,32
3,92.7572555542,136.639511108,33
3,92.8418807983,136.79087829600002,34
3,92.9683303833,137.332962036,35
3,93.3517684937,137.443878174,36
3,93.4520721436,137.989212036,37
3,93.4772644043,138.007904053,38
3,93.6734924316,138.394989014,39
3,93.36806488040001,138.432235718,40
3,92.6701965332,138.792709351,41
3,92.99069213870001,138.373779297,42
3,92.81616973879999,138.441345215,43
3,92.5982971191,138.571060181,44
3,92.48622131350001,139.390609741,45
3,92.7542800903,139.55259704600002,46
3,92.8936843872,139.506362915,47
3,93.08787536620001,139.746902466,48
3,92.47166442870001,139.763824463,49
3,92.5960617065,139.022323608,50
3,92.5185546875,139.18577575700002,51
3,92.54781341549999,138.509475708,52
3,92.2162628174,139.515426636,53
3,92.372833252,139.699508667,54
3,92.428352356,139.401794434,55
3,92.4333114624,138.932525635,56
3,92.6490707397,139.332489014,57
3,92.3994064331,139.317382812,58
3,92.44995880129999,139.946853638,59
3,92.89930725100001,140.075988769,60
3,92.6529541016,140.164581299,61
3,92.49937438959999,140.485656738,62
3,92.4878158569,140.44232177700002,63
3,92.5553207397,140.25730896,64
3,92.1677017212,140.362213135,65
3,91.8379364014,140.581756592,66
3,91.65377807620001,140.918258667,67
3,91.5285110474,141.618591309,68
3,91.8917388916,141.806686401,69
3,91.75303649899999,141.487670898,70
3,91.95838928219999,141.275100708,71
3,92.0157012939,141.046859741,72
3,92.33332824709998,140.729217529,73
3,92.0088729858,140.51625061,74
3,91.9744033813,140.378173828,75
3,91.9365234375,140.326644897,76
3,91.6704177856,140.606887817,77
3,91.3316574097,140.843109131,78
3,91.7909011841,141.234176636,79
3,91.76170349120001,141.515716553,80
3,91.3509140015,141.217468262,81
3,91.55773925780001,141.128433228,82
3,91.9543151855,140.987869263,83
3,92.581703186,141.26008606,84
3,92.59852600100001,141.458679199,85
3,93.3495864868,141.41384887700002,86
3,92.9927368164,141.174316406,87
3,93.06497955319999,141.650680542,88
3,92.4842224121,141.753356934,89
3,91.9910964966,141.949752808,90
3,92.60383605959998,141.74400329600002,91
3,93.0484924316,141.143310547,92
3,92.7866287231,140.898696899,93
3,92.9122772217,140.910095215,94
3,93.81072235110001,140.795761108,95
3,93.9614105225,140.619781494,96
3,94.1546554565,140.677658081,97
3,93.88661956790001,140.814987183,98
3,94.0528182983,140.851882935,99
3,94.30479431149999,140.873199463,100
3,94.5736541748,140.716995239,101
3,94.6067276001,140.727493286,102
3,94.6963500977,140.46005249,103
3,94.3259658813,140.310699463,104
3,94.5084533691,140.490432739,105
3,94.618888855,140.377212524,106
3,94.61915588379999,140.410202026,107
3,95.459815979,140.410400391,108
3,95.51741790770001,140.26995849600002,109
3,95.8981323242,139.969711304,110
3,95.9112625122,139.955780029,111
3,96.20690917969999,140.023147583,112
3,96.54253387450001,140.127502441,113
3,96.9314346313,140.268249512,114
3,96.70511627200001,140.065994263,115
3,96.8336486816,140.309280395,116
3,96.7050704956,140.314849853,117
3,96.6662826538,140.434417725,118
3,96.6826095581,140.503387451,119
3,96.785484314,140.3359375,120
3,96.7424621582,140.338439941,121
3,96.94002532959999,140.347549439,122
3,96.9413223267,140.732589722,123
3,96.32074737549999,140.90130615200002,124
3,96.15635681149999,141.071548462,125
3,96.2779312134,141.466796875,126
3,96.4133071899,141.627655029,127
3,96.4470596313,141.932647705,128
3,96.0325546265,141.84866333,129
3,95.90428161620001,141.805877686,130
3,95.93293762209998,141.866622925,131
3,95.98447418209999,141.751800537,132
3,96.12886810299999,141.97845459,133
3,95.8295669556,141.97894287100002,134
3,95.5508346558,141.978393555,135
3,96.15029144290001,141.648880005,136
3,96.1907653809,141.733032227,137
3,96.179977417,142.000823975,138
3,95.9162826538,142.030166626,139
3,96.14158630370001,142.055664062,140
3,96.3132247925,141.906829834,141
3,96.2050018311,142.06930542,142
3,96.44770050049999,142.075286865,143
3,96.0410690308,142.017059326,144
3,95.81582641600001,141.972076416,145
3,96.3938980103,142.072967529,146
3,96.3802947998,142.216903686,147
3,96.2835388184,142.51071167,148
